id,title,link,description,pubDate,fetched_at
1,"No one has right over government land, even under Waqf by user: Centre to SC",https://timesofindia.indiatimes.com/india/no-one-has-right-over-government-land-even-under-waqf-by-user-centre-to-sc-bjp-congress-waqf-amendment-act/articleshow/121310205.cms,"The Centre asserted in the Supreme Court that government land cannot be claimed by any entity, even if used for religious purposes and classified as waqf. This stance came amidst challenges to the Waqf (Amendment) Act, 2025, with the court examining the power to denotify waqf properties and the composition of waqf boards.",2025-05-21T13:23:34+05:30,2025-05-21T07:57:21.832181+00:00
2,"Yeh Rishta Kya Kehlata Hai fame Sandeep Kumaar on exploring the OTT platform says, ""I was always a bad boy on TV screens, here I'm the Hero""",https://timesofindia.indiatimes.com/tv/news/hindi/yeh-rishta-kya-kehlata-hai-fame-sandeep-kumaar-on-exploring-the-ott-platform-says-i-was-always-a-bad-boy-on-tv-screens-here-im-the-hero/articleshow/121311317.cms,"Sandeep Kumaar, known for his villainous TV roles in shows like 'Tera Mera Saath Rahe,' is now embracing lead roles on OTT platforms. He stars in the upcoming series 'R.I.P Love' as Rohan, a character central to the story.",2025-05-21T13:23:26+05:30,2025-05-21T07:57:21.832174+00:00
3,Sai Sudharsan's power play: Unpacking southpaw's scientific approach to T20 batting,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/sai-sudharsans-power-play-unpacking-southpaws-scientific-approach-to-t20-batting/articleshow/121310652.cms,"With 617 runs, Sai Sudharsan is the leading run-scorer in IPL 2025, forging a formidable opening partnership with Shubman Gill for Gujarat Titans. TimesofIndia.com delves deep into how the southpaw worked on his T20 batting with the help of power-hitting coach Shanon Young at the Cricket Performance Lab in Melbourne during the India A tour of Australia in November last year.",2025-05-21T13:19:14+05:30,2025-05-21T07:57:21.832183+00:00
4,Trisha gracefully shuts down criticism for romancing Kamal Haasan in 'Thug Life',https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/trisha-gracefully-shuts-down-criticism-for-romancing-kamal-haasan-in-thug-life/articleshow/121311211.cms,Trisha Krishnan is starring in 'Thug Life' with Kamal Haasan. The film has generated social media discussion. Some critics have pointed out the age difference between Trisha and Kamal. Trisha addressed the criticism at a pre-release event. She spoke about her chemistry with Kamal Haasan. Trisha also praised working with Kamal Haasan and Mani Ratnam.,2025-05-21T13:18:36+05:30,2025-05-21T07:57:21.832185+00:00
5,'It's a diversion': Congress calls Operation Sindoor delegations 'PR exercise',https://timesofindia.indiatimes.com/india/its-a-diversion-congress-calls-operation-sindoor-delegations-pr-exercise/articleshow/121310434.cms,"Congress leader Jairam Ramesh has strongly criticised the government's 'Operation Sindoor' delegation, calling it a diversion from pressing domestic issues like the Pahalgam attack. He questioned PM Modi's absence from crucial all-party meetings and the delay in convening a special parliamentary session to address the security fallout.",2025-05-21T13:18:07+05:30,2025-05-21T07:57:21.832191+00:00
6,NHL playoff controversy: Sergei Bobrovsky responds to controversial hit during Panthers vs Hurricanes Game 1,https://timesofindia.indiatimes.com/sports/nhl/news/nhl-playoff-controversy-sergei-bobrovsky-responds-to-controversial-hit-during-panthers-vs-hurricanes-game-1/articleshow/121311015.cms,"In Game 1 of the Eastern Conference Final, Panthers goalie Sergei Bobrovsky stayed composed despite a controversial and dangerous crease collision by Hurricanes’ Andrei Svechnikov. While Bobrovsky dismissed the incident as typical playoff physicality, the hit sparked debate over player safety. With tensions high, Florida’s resilience set the tone for a heated series ahead against Carolina.",2025-05-21T13:13:37+05:30,2025-05-21T07:47:20.083941+00:00
7,Pentagon chief Pete Hegseth orders review of 'chaotic' US withdrawal from Afghanistan,https://timesofindia.indiatimes.com/world/us/pentagon-chief-pete-hegseth-orders-review-of-chaotic-us-withdrawal-from-afghanistan/articleshow/121310602.cms,"Defense Secretary Pete Hegseth has ordered a comprehensive review of the 2021 Afghanistan withdrawal, responding to Republican criticisms of the Biden administration's handling of the situation. A special panel will examine previous investigations to ensure accountability and provide a complete picture to the American people regarding the chaotic withdrawal and its consequences, including the Taliban's resurgence.",2025-05-21T13:13:04+05:30,2025-05-21T07:47:20.083972+00:00
8,"Seven-day baby among 19 killed in Israeli strike, Hamas claims",https://timesofindia.indiatimes.com/world/middle-east/seven-day-baby-among-19-killed-in-israeli-strike-hamas-claims/articleshow/121309938.cms,"Israeli strikes in Gaza have resulted in at least 19 fatalities, including a baby, according to the Hamas-controlled civil defense agency. This escalation follows Israel's announcement to take control of the Gaza Strip and the breakdown of ceasefire negotiations in Doha, with both sides blaming each other for the failure.",2025-05-21T13:12:16+05:30,2025-05-21T07:47:20.083979+00:00
9,"Mumbai cooperative department officer caught taking Rs 2 lakh bribe, arrested by ACB in Bandra",https://timesofindia.indiatimes.com/city/mumbai/mumbai-cooperative-department-officer-caught-taking-rs-2-lakh-bribe-arrested-by-acb-in-bandra/articleshow/121310975.cms,"Vikas Ramchandra Korde, a Cooperative Officer, was apprehended by the Anti Corruption Bureau while accepting a bribe of Rs 2 lakhs. The bribe was solicited to expedite action on a complaint filed by a housing society treasurer regarding alleged illegal activities by committee members. The ACB has registered a case, and further investigation is underway to identify other involved officials.",2025-05-21T13:12:11+05:30,2025-05-21T07:47:20.083985+00:00
10,Jagannath Temple in Odisha's Puri without governing body for 8 months,https://timesofindia.indiatimes.com/city/bhubaneswar/jagannath-temple-in-odishas-puri-without-governing-body-for-8-months/articleshow/121310669.cms,"The Jagannath Temple in Puri has been without its managing committee for eight months, impacting key decisions on the 2025-26 budget, a new darshan system, and Hundi repositioning. With the Rath Yatra approaching, the absence of the committee poses challenges in finalizing rituals and arrangements.",2025-05-21T13:12:05+05:30,2025-05-21T07:47:20.084015+00:00
