user_id,name,username,following_agentid_list,previous_tweets,user_char,description
1,User1,user_1,[],"['Top Maoist leader Nambala Keshavrao among 26 gunned down in Chhattisgarh encounter', 'Google Play Stores new features and subscription tools unveiled at Google IO 2025', 'Sai Sudharsans power play Unpacking southpaws scientific approach to T20 batting']",curious,No one has right over government land even under Waqf by user Centre to SC
2,User2,user_2,[1],"['Top Maoist leader Nambala Keshavrao among 26 gunned down in Chhattisgarh encounter', 'Its a diversion Congress calls Operation Sindoor delegations PR exercise', 'Sevenday baby among 19 killed in Israeli strike Hamas claims']",friendly,Yeh Rishta Kya Kehlata Hai fame Sandeep Kumaar on exploring the OTT platform says I was always a bad
3,User3,user_3,[1],"['Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan', 'Trisha gracefully shuts down criticism for romancing Kamal Haasan in Thug Life', 'TNPSC Combined Technical Services Recruitment 2025 Notification for 615 vacancies released applicati']",sarcastic,Sai Sudharsans power play Unpacking southpaws scientific approach to T20 batting
4,User4,user_4,[2],"['Yeh Rishta Kya Kehlata Hai fame Sandeep Kumaar on exploring the OTT platform says I was always a bad', 'Top Maoist leader Nambala Keshavrao among 26 gunned down in Chhattisgarh encounter', 'Jagannath Temple in Odishas Puri without governing body for 8 months']",analytical,Trisha gracefully shuts down criticism for romancing Kamal Haasan in Thug Life
5,User5,user_5,[1],"['NHL playoff controversy Sergei Bobrovsky responds to controversial hit during Panthers vs Hurricanes', 'Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan', 'Australian chopper crash caused by pilot disorientation report']",sarcastic,Its a diversion Congress calls Operation Sindoor delegations PR exercise
6,User6,user_6,"[4, 2]","['Its a diversion Congress calls Operation Sindoor delegations PR exercise', 'TNPSC Combined Technical Services Recruitment 2025 Notification for 615 vacancies released applicati', 'Rihanna and her baby bump set new standard for maternity glam at Cannes 2025']",curious,NHL playoff controversy Sergei Bobrovsky responds to controversial hit during Panthers vs Hurricanes
7,User7,user_7,"[2, 1]","['No Princess Diaries for Gavi Barcelona star chooses Ana Pelayo over royal romance  meet his new lead', 'Rihanna and her baby bump set new standard for maternity glam at Cannes 2025', 'Mumbai cooperative department officer caught taking Rs 2 lakh bribe arrested by ACB in Bandra']",sarcastic,Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan
8,User8,user_8,"[7, 3, 2]","['Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan', 'Yeh Rishta Kya Kehlata Hai fame Sandeep Kumaar on exploring the OTT platform says I was always a bad', 'Has she committed murder Supreme Court grants anticipatory bail to Puja Khedkar in IAS fraud case']",analytical,Sevenday baby among 19 killed in Israeli strike Hamas claims
9,User9,user_9,[6],"['Sai Sudharsans power play Unpacking southpaws scientific approach to T20 batting', 'NHL playoff controversy Sergei Bobrovsky responds to controversial hit during Panthers vs Hurricanes', 'Trisha gracefully shuts down criticism for romancing Kamal Haasan in Thug Life']",analytical,Mumbai cooperative department officer caught taking Rs 2 lakh bribe arrested by ACB in Bandra
10,User10,user_10,"[1, 2, 9]","['Logan Paul eyes WWE glory amid fan backlash JBL predicts big future', 'Google Play Stores new features and subscription tools unveiled at Google IO 2025', 'Why You Should Not Cross a Chauraha in the Evening']",analytical,Jagannath Temple in Odishas Puri without governing body for 8 months
11,User11,user_11,"[1, 9, 2]","['Australian chopper crash caused by pilot disorientation report', 'Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan', 'Mysterious headless tailless alligator found floating in Cape Coral canal sparks fear among Florida ']",analytical,PM Narendra Modi to inaugurate five redeveloped Chhattisgarh railway stations under Amrit Bharat Sta
12,User12,user_12,"[9, 2, 8]","['Has she committed murder Supreme Court grants anticipatory bail to Puja Khedkar in IAS fraud case', 'Google Play Stores new features and subscription tools unveiled at Google IO 2025', 'No one has right over government land even under Waqf by user Centre to SC']",outspoken,Logan Paul eyes WWE glory amid fan backlash JBL predicts big future
13,User13,user_13,[10],"['Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan', 'UP govt to revamp religious routes with Rs 4560 crore investment', 'Mumbai cooperative department officer caught taking Rs 2 lakh bribe arrested by ACB in Bandra']",analytical,IPL playoffs scenarios With 8 games remaining MI have 63 chance of making top two  odds for each tea
14,User14,user_14,[11],"['Australian chopper crash caused by pilot disorientation report', 'NHL playoff controversy Sergei Bobrovsky responds to controversial hit during Panthers vs Hurricanes', 'Sai Sudharsans power play Unpacking southpaws scientific approach to T20 batting']",analytical,Woman feels vibrations near fan and washing machine doctor links it to a common deficiency
15,User15,user_15,[5],"['Woman feels vibrations near fan and washing machine doctor links it to a common deficiency', 'Logan Paul eyes WWE glory amid fan backlash JBL predicts big future', 'Its a diversion Congress calls Operation Sindoor delegations PR exercise']",analytical,Google Play Stores new features and subscription tools unveiled at Google IO 2025
16,User16,user_16,"[4, 12, 15]","['TNPSC Combined Technical Services Recruitment 2025 Notification for 615 vacancies released applicati', 'Top Maoist leader Nambala Keshavrao among 26 gunned down in Chhattisgarh encounter', 'IPL playoffs scenarios With 8 games remaining MI have 63 chance of making top two  odds for each tea']",outspoken,Dronelike objects spotted over Kolkata sky police probe espionage angle
17,User17,user_17,[10],"['Australian chopper crash caused by pilot disorientation report', 'Mysterious headless tailless alligator found floating in Cape Coral canal sparks fear among Florida ', 'Yeh Rishta Kya Kehlata Hai fame Sandeep Kumaar on exploring the OTT platform says I was always a bad']",analytical,Why You Should Not Cross a Chauraha in the Evening
18,User18,user_18,[4],"['Google Play Stores new features and subscription tools unveiled at Google IO 2025', 'South Korean exports dip as US tariffs take toll government unveils 205 billion aid plan for busines', 'Cannes 2025 screening Aranyer Din Ratri receives standing ovation']",outspoken,UP govt to revamp religious routes with Rs 4560 crore investment
19,User19,user_19,[4],"['Sevenday baby among 19 killed in Israeli strike Hamas claims', 'Australian chopper crash caused by pilot disorientation report', 'Pentagon chief Pete Hegseth orders review of chaotic US withdrawal from Afghanistan']",analytical,Has she committed murder Supreme Court grants anticipatory bail to Puja Khedkar in IAS fraud case
20,User20,user_20,"[17, 5, 6]","['Top Maoist leader Nambala Keshavrao among 26 gunned down in Chhattisgarh encounter', 'Woman feels vibrations near fan and washing machine doctor links it to a common deficiency', 'TNPSC Combined Technical Services Recruitment 2025 Notification for 615 vacancies released applicati']",sarcastic,Rihanna and her baby bump set new standard for maternity glam at Cannes 2025
21,User21,user_21,"[2, 3, 6]","['Has she committed murder Supreme Court grants anticipatory bail to Puja Khedkar in IAS fraud case', 'Woman feels vibrations near fan and washing machine doctor links it to a common deficiency', 'Rihanna and her baby bump set new standard for maternity glam at Cannes 2025']",sarcastic,Cannes 2025 screening Aranyer Din Ratri receives standing ovation
